area,housing units,income diversity ratio
Astoria,88625,5.41666666666667
Bay Ridge,53098,5.87218045112782
Baychester,49914,6.28205128205128
Bayside,45398,3.55952380952381
Bedford-Stuyvesant,61257,7.20588235294118
Belmont,64444,6.52083333333333
Bensonhurst,67933,5.45045045045045
Borough Park,45908,5.4390243902439
Brooklyn Heights,68858,7.66666666666667
Brownsville,54613,7
Bushwick,50529,6.38743455497382
Canarsie,72759,5.08620689655172
Carroll Gardens,53847,4.64426877470356
Harlem,62494,8.58208955223881
Chelsea,111306,9.65185185185185
Chinatown,78183,9.18978102189781
Clinton Hill,111306,9.65185185185185
Co-op City,48651,4.73029045643154
Coney Island,50281,7.20714285714286
Corona,48857,3.8
East Flatbush,58175,3.93728222996516
East Harlem,56081,7.52
East New York,66650,5.46875
Elmhurst,48857,3.8
Financial District,93773,6.50485436893204
Flatbush,60753,5.20547945205479
Flatlands,72759,5.08620689655172
Flushing,93313,5.02032520325203
Fordham,49749,6.24299065420561
Forest Hills,56937,4.31034482758621
Fort Greene,68858,7.66666666666667
Fresh Meadows,58181,5.03703703703704
Gravesend,64256,6.47710280373832
Greenpoint,71130,8.13302752293578
Greenwich Village,93773,6.50485436893204
Hamilton Heights,53497,6.66666666666667
Highbridge,51402,5.92307692307692
Hillcrest,58181,5.03703703703704
Howard Beach,41576,4.53172205438066
Hunts Point,56250,5.38317757009346
Inwood,79096,5.73441734417344
Jackson Heights,65316,4.89328063241107
Jamaica,80667,4.14333333333333
Kingsbridge,46452,7.41758241758242
Kingsbridge Heights,49211,6.81651376146789
Little Neck,45398,3.55952380952381
Lower East Side,78183,9.18978102189781
Mid-Island,50234,4.075
Middle Village,69027,4.46474358974359
Midtown,111306,9.65185185185185
Morningside Heights,53497,6.66666666666667
Morrisania,64444,6.52083333333333
Mosholu,49211,6.81651376146789
Mott Haven,56250,5.38317757009346
North Crown Heights,60263,6.915
North Shore,68647,6.93809523809524
Ocean Hill,54613,7
Ozone Park,47505,4.64646464646465
Park Slope,53847,4.64426877470356
Parkchester,69963,5.48780487804878
Pelham Parkway,46473,4.4
Prospect Heights,60263,6.915
Queens Village,61469,3.81860465116279
Rego Park,56937,4.31034482758621
Ridgewood,69027,4.46474358974359
Riverdale,46452,7.41758241758242
Rockaways,46463,6.46818181818182
Sheepshead Bay,64256,6.47710280373832
Soundview,69963,5.48780487804878
South Concourse,51402,5.92307692307692
South Crown Heights,47454,5.08403361344538
South Ozone Park,41576,4.53172205438066
South Shore,62305,5
Starrett City,66650,5.46875
Stuyvesant Town,95084,8.04289544235925
Sunnyside,62542,4.56666666666667
Sunset Park,45903,4.6875
Throgs Neck,48651,4.73029045643154
Turtle Bay,95084,8.04289544235925
University Heights,49749,6.24299065420561
Upper East Side,141685,5.55357142857143
Upper West Side,115083,8.8421052631579
Washington Heights,79096,5.73441734417344
Whitestone,93313,5.02032520325203
Williamsbridge,49914,6.28205128205128
Williamsburg,71130,8.13302752293578
Woodhaven,47505,4.64646464646465
Woodside,62542,4.56666666666667
SoHo,93773,6.50485436893204
Hell’s Kitchen,111306,9.65185185185185
East Village,78183,9.18978102189781
West Village,93773,6.50485436893204
Prospect-Lefferts Gardens,47454,5.08403361344538
Murray Hill,95084,8.04289544235925
Kips Bay,95084,8.04289544235925
Gramercy,95084,8.04289544235925
